,,,,,
,run1,,,,
serial,262.26, 0.00, 4:22.29, 99, 
parallel1,263.14, 0.13, 4:23.39, 99, 
parallel4,267.61, 0.80, 1:07.17, 399, 
parallel8,264.54, 1.53, 0:33.39, 796, 
parallel12,266.70, 2.29, 0:22.60, 1189, 
parallel16,268.54, 3.21, 0:17.19, 1580, 
parallel20,272.50, 4.56, 0:14.08, 1967, 
parallel24,275.74, 5.98, 0:12.04, 2339, 
parallel28,303.12, 8.59, 0:11.55, 2697, 
parallel32,308.00, 10.01, 0:10.31, 3083, 
parallel36,315.03, 12.77, 0:09.52, 3442, 
parallel40,315.30, 16.32, 0:08.81, 3760, 
parallel44,326.24, 18.10, 0:08.43, 4083, 
parallel48,336.64, 22.23, 0:08.52, 4211, 
,,,,,
,run2,,,,
serial,262.57, 0.00, 4:22.60, 99, 
parallel1,263.17, 0.38, 4:23.27, 100, 
parallel4,263.69, 0.73, 1:06.19, 399, 
parallel8,266.89, 1.50, 0:33.82, 793, 
parallel12,266.52, 2.27, 0:22.56, 1191, 
parallel16,269.76, 3.30, 0:17.25, 1582, 
parallel20,272.57, 4.44, 0:14.13, 1959, 
parallel24,279.47, 5.96, 0:12.35, 2309, 
parallel28,310.06, 8.76, 0:11.77, 2707, 
parallel32,305.22, 10.52, 0:10.62, 2971, 
parallel36,309.87, 12.88, 0:09.43, 3422, 
parallel40,315.15, 15.18, 0:08.82, 3744, 
parallel44,329.73, 17.38, 0:08.86, 3916, 
parallel48,340.70, 20.50, 0:08.14, 4435, 
,,,,,
,run3,,,,
serial,262.56, 0.00, 4:22.59, 99, 
parallel1,264.85, 0.40, 4:24.97, 100, 
parallel4,263.67, 0.74, 1:06.19, 399, 
parallel8,267.72, 1.38, 0:33.90, 793, 
parallel12,266.03, 2.32, 0:22.51, 1191, 
parallel16,269.60, 3.15, 0:17.24, 1581, 
parallel20,286.32, 4.52, 0:15.07, 1929, 
parallel24,275.59, 5.93, 0:12.04, 2337, 
parallel28,296.63, 8.45, 0:11.25, 2711, 
parallel32,309.39, 10.42, 0:10.38, 3078, 
parallel36,307.36, 12.43, 0:09.30, 3436, 
parallel40,318.71, 15.76, 0:08.92, 3746, 
parallel44,326.03, 18.57, 0:08.80, 3914, 
parallel48,324.58, 21.65, 0:07.92, 4368, 
