,,,,,
,run1,,,,
parallel1,26.45, 0.12, 0:26.63, 99, 
parallel4,105.75, 0.67, 0:26.72, 398, 
parallel8,212.08, 1.46, 0:26.86, 794, 
parallel12,323.73, 2.24, 0:27.35, 1191, 
parallel16,460.91, 3.09, 0:29.64, 1565, 
parallel20,543.81, 4.56, 0:27.66, 1982, 
parallel24,658.63, 6.48, 0:27.95, 2379, 
parallel28,828.17, 8.67, 0:30.60, 2734, 
parallel32,962.35, 11.44, 0:31.12, 3128, 
parallel36,1123.90, 14.13, 0:32.67, 3482, 
parallel40,1245.86, 16.11, 0:32.23, 3915, 
parallel44,1471.65, 19.12, 0:34.80, 4283, 
parallel48,1518.80, 22.99, 0:32.94, 4680, 
,,,,,
,run2,,,,
parallel1,26.63, 0.14, 0:26.79, 99, 
parallel4,105.89, 0.59, 0:26.72, 398, 
parallel8,213.29, 1.37, 0:27.13, 791, 
parallel12,319.94, 2.28, 0:27.02, 1192, 
parallel16,430.13, 3.52, 0:27.28, 1589, 
parallel20,551.77, 4.92, 0:28.04, 1984, 
parallel24,689.13, 6.14, 0:29.45, 2360, 
parallel28,851.54, 8.73, 0:31.47, 2733, 
parallel32,1010.19, 11.70, 0:33.48, 3051, 
parallel36,1105.02, 12.66, 0:31.57, 3539, 
parallel40,1261.61, 14.58, 0:32.49, 3927, 
parallel44,1391.96, 18.79, 0:33.34, 4231, 
parallel48,1529.73, 22.78, 0:33.45, 4640, 
,,,,,
,run3,,,,
parallel1,26.39, 0.14, 0:26.54, 99, 
parallel4,105.64, 0.65, 0:26.66, 398, 
parallel8,211.71, 1.46, 0:26.76, 796, 
parallel12,325.57, 2.31, 0:27.47, 1193, 
parallel16,437.98, 3.31, 0:27.80, 1586, 
parallel20,545.14, 4.89, 0:27.74, 1982, 
parallel24,662.11, 5.98, 0:28.28, 2361, 
parallel28,856.53, 8.84, 0:31.56, 2741, 
parallel32,967.79, 10.84, 0:31.43, 3112, 
parallel36,1101.07, 13.44, 0:31.50, 3537, 
parallel40,1250.58, 15.36, 0:32.31, 3917, 
parallel44,1449.57, 20.24, 0:34.21, 4295, 
parallel48,1541.29, 21.25, 0:33.24, 4699, 
