#header line: GPU processors,avg,error_bar,run1,run2,run3
1,26.57,0.01,26.56,26.58,26.57
4,6.89,0.01,6.89,6.88,6.89
8,3.66,0.03,3.65,3.69,3.63
12,2.64,0.05,2.63,2.69,2.6
16,2.19,0.1,2.12,2.14,2.32
20,1.87,0.01,1.87,1.87,1.86
24,1.71,0.01,1.71,1.72,1.7
28,1.81,0.08,1.77,1.76,1.91
32,1.77,0.05,1.82,1.72,1.77
36,1.72,0.02,1.73,1.7,1.73
40,1.86,0.08,1.8,1.95,1.83
44,1.88,0.01,1.89,1.87,1.89
48,1.96,0.03,1.99,1.96,1.93
