"#header line: GPU processors,avg,error_bar,run1,run2,run3,... runN",,,,,
,,,,,
1,26.65,0.125,26.63,26.79,26.54
4,26.7,0.03,26.72,26.72,26.66
8,26.92,0.185,26.86,27.13,26.76
12,27.28,0.225,27.35,27.02,27.47
16,28.24,1.18,29.64,27.28,27.8
20,27.81,0.19,27.66,28.04,27.74
24,28.56,0.75,27.95,29.45,28.28
28,31.21,0.48,30.6,31.47,31.56
32,32.01,1.18,31.12,33.48,31.43
36,31.91,0.585,32.67,31.57,31.5
40,32.34,0.13,32.23,32.49,32.31
44,34.12,0.73,34.8,33.34,34.21
48,33.21,0.255,32.94,33.45,33.24
