GPU processors,avg,error_bar,run1,run1,run3
1,263.88,0.85,263.39,263.27,264.97
4,66.52,0.49,67.17,66.19,66.19
8,33.7,0.25,33.39,33.82,33.9
12,22.56,0.05,22.6,22.56,22.51
16,17.23,0.03,17.19,17.25,17.24
20,14.43,0.5,14.08,14.13,15.07
24,12.14,0.16,12.04,12.35,12.04
28,11.52,0.26,11.55,11.77,11.25
32,10.44,0.16,10.31,10.62,10.38
36,9.42,0.11,9.52,9.43,9.3
40,8.85,0.05,8.81,8.82,8.92
44,8.7,0.22,8.43,8.86,8.8
48,8.19,0.3,8.52,8.14,7.92
