#header line: GPU processors,avg,error_bar,run1,run2,run3
1,2631.6,1.76,2633.55,2630.03,2631.21
12,2701.43,1.535,2701.19,2703.08,2700.01
24,2794.57,5.88,2797.42,2787.27,2799.03
36,3125.03,13.33,3137.75,3126.26,3111.09
48,3258.59,50.955,3248.31,3212.78,3314.69
