#header line: GPU processors,avg,error_bar,run1,run2,run3
1,2.9,0.03,2.93,2.88,2.89
4,0.97,0.02,0.96,0.99,0.97
8,0.67,0.01,0.67,0.67,0.66
12,0.61,0,0.61,0.61,0.61
16,0.6,0.01,0.6,0.61,0.6
20,0.63,0.01,0.63,0.64,0.63
24,0.69,0.01,0.7,0.69,0.68
28,0.8,0.02,0.82,0.8,0.79
32,0.87,0.01,0.88,0.88,0.86
36,0.95,0.05,0.91,0.93,1
40,1.1,0.08,1.09,1.18,1.02
44,1.18,0.02,1.16,1.2,1.17
48,1.29,0.05,1.27,1.35,1.26
