,,,,,
,run1,,,,
parallel1,266.13, 0.12, 4:26.37, 99, 
parallel4,1057.88, 1.54, 4:24.62, 400, 
parallel8,2118.47, 2.06, 4:25.13, 799, 
parallel12,3170.98, 3.99, 4:25.98, 1193, 
parallel16,4303.25, 7.37, 4:29.30, 1600, 
parallel20,5463.25, 5.70, 4:35.25, 1986, 
parallel24,6814.81, 8.14, 4:45.81, 2387, 
parallel28,8379.22, 11.63, 4:59.86, 2798, 
parallel32,9697.11, 13.29, 5:03.81, 3196, 
parallel36,11077.24, 17.11, 5:09.53, 3584, 
parallel40,12645.48, 17.37, 5:18.27, 3978, 
parallel44,310.81, 0.71, 5:13.14, 99, 
parallel48,15051.78, 23.78, 5:23.32, 4662, 
,,,,,
,run2,,,,
parallel1,263.71, 0.13, 4:23.95, 99, 
parallel4,1103.72, 1.63, 4:47.82, 384, 
parallel8,2123.60, 3.29, 4:25.77, 800, 
parallel12,3217.69, 4.73, 4:29.49, 1195, 
parallel16,4294.79, 5.87, 4:28.86, 1599, 
parallel20,5434.10, 4.54, 4:32.35, 1996, 
parallel24,6585.25, 6.93, 4:35.24, 2395, 
parallel28,8465.52, 12.02, 5:03.33, 2794, 
parallel32,9972.08, 11.32, 5:12.34, 3196, 
parallel36,11157.34, 16.12, 5:11.98, 3581, 
parallel40,307.68, 0.72, 5:10.18, 99, 
parallel44,14199.18, 22.87, 5:36.83, 4222, 
parallel48,15490.30, 25.40, 5:29.97, 4702, 
,,,,,
,run3,,,,
parallel1,263.14, 0.38, 4:23.25, 100, 
parallel4,1054.43, 1.60, 4:23.78, 400, 
parallel8,2126.57, 2.87, 4:26.09, 800, 
parallel12,3576.28, 5.81, 5:40.95, 1050, 
parallel16,4305.65, 7.37, 4:29.88, 1598, 
parallel20,5436.21, 8.26, 4:32.31, 1999, 
parallel24,6604.88, 9.98, 4:38.93, 2371, 
parallel28,8494.43, 10.37, 5:06.44, 2775, 
parallel32,9632.69, 13.26, 5:02.05, 3193, 
parallel36,11226.20, 14.76, 5:15.89, 3558, 
parallel40,12420.57, 19.33, 5:11.74, 3990, 
parallel44,14216.81, 23.59, 5:24.72, 4385, 
parallel48,15313.54, 24.11, 5:28.54, 4668, 
