,,,,,
,run1,,,,
1,26.37278043, 
4,26.34463820,26.34418379,26.40623810,26.40564153, 
8,26.41339539,26.41387046,26.41383195,26.41365408,26.41382359,26.50054191,26.50052047,26.50042654, 
12,26.52491218,26.96115974,26.96114864,26.96111810,26.96109553,26.96110437,26.96116417,26.96125504,26.96112618,26.96120814,26.96129506,26.96123350, 
16,26.78830143,26.79521161,26.79531912,29.19480183,29.19480860,29.19489837,29.19493714,29.19482387,29.19496945,29.19497459,29.19499090,29.19502006,29.19500136,29.19503085,29.19491655,29.19504471, 
20,27.10763740,27.10766772,27.10707111,27.10779670,27.10777078,27.12739535,27.12733531,27.13716246,27.13717823,27.13711527,27.13732822,27.13721383,27.13733035,27.13727142,27.13736264,27.13733311,27.13739278,27.13736729,27.13727611,27.13733973, 
24,27.35867940,27.35888161,27.35867954,27.35886333,27.35880585,27.36846470,27.36869267,27.36855425,27.36857700,27.36862647,27.36851979,27.36865592,27.36860657,27.36866608,27.36839990,27.36869591,27.36856874,27.36881397,27.36869743,27.36854090,27.36884035,27.36887210,27.36795995,27.36872449, 
28,26.86434602,27.62473493,28.87068227,28.87067312,28.87068377,28.87029307,28.88912340,28.88909678,29.88093848,29.89025030,29.89022847,29.89040013,29.89022102,29.89036387,29.89026909,29.89034876,29.89032691,29.89038540,29.89030223,29.89030125,29.89056324,29.89027285,29.89043722,29.89034178,29.88932142,29.89047595,29.89041760,29.89066469, 
32,27.10383298,27.88882792,27.87609307,30.05806603,30.05813088,30.05804368,30.06141130,30.06148856,30.06167861,30.06149371,30.06166271,30.06156530,30.06162974,30.06145173,30.06171353,30.32127454,30.32149652,30.32127862,30.32123143,30.32128444,30.32127288,30.32149224,30.32151004,30.32074402,30.32138504,30.32150996,30.31697022,30.32146127,30.32153051,30.32155017,30.32148632,30.31567853, 
