,,,,,
,run1,,,,
1,2629.86991848, 
4,658.56533764,658.56587504,660.05351457,660.05326912, 
8,330.16613956,330.16687598,330.16672844,330.18800597,330.18832848,330.19721268,330.19712219,330.19716695, 
12,220.35959717,220.36016348,220.36015385,220.36016225,220.36025978,220.36033050,220.36034357,220.36042663,220.36031864,220.36034949,220.36042135,220.36039061, 
16,167.58423827,167.58409163,167.58434744,167.58435682,167.58415792,167.58439943,167.58440411,167.58437506,167.58372009,167.58431687,167.58425788,168.07164389,168.07169598,168.07167516,168.07157934,168.07140621, 
20,135.41828434,135.62790681,135.62770045,135.62709892,135.62775280,135.62780411,135.62776568,135.73257268,135.73263309,136.13866344,136.13877193,136.13850089,136.13816979,136.13876024,136.13860476,136.13870917,136.13876988,136.13320653,136.13885227,136.13878162, 
24,113.93337675,113.93605864,113.93614943,113.97167269,113.97179307,113.97170122,113.97194365,123.95206754,123.95204575,123.95218387,123.95201147,123.95205302,123.95195843,123.95208684,123.95202018,123.95219531,123.95206688,123.94697385,123.95210467,123.95225078,123.95228468,123.95233111,123.95235916,123.95230196, 
28,103.83806478,104.02635362,104.02642940,106.47604329,106.68046009,106.68051447,106.68075373,106.68057158,106.68068200,106.68068380,106.68084483,106.68061463,106.68057352,106.68050106,106.68077755,106.67518311,106.68048862,106.68093711,106.68068358,106.68069090,106.68087542,106.68091132,106.68099848,106.68081107,106.68086381,106.68093053,106.68084998,106.68100717, 
32,92.14659364,94.05624848,94.05605087,94.05586753,94.05615608,94.05615958,96.32105052,96.32403763,96.32406056,96.32433158,96.32379483,96.31704108,96.32403180,96.32418028,96.32437612,96.32425604,96.32424559,96.32385881,96.32222468,96.31847634,96.32431900,96.32417231,96.32410923,96.32436107,96.32430333,96.32401619,96.32438000,96.32442321,96.32437276,96.32429302,96.32445767,96.32453906, 
36,84.60771531,84.60781137,84.60767133,85.13015067,86.33335326,86.33354010,86.33343441,86.33352366,86.33348644,86.33365849,86.33233876,86.34453027,86.34387444,86.34440472,86.33250439,86.34464579,86.34472586,86.34464072,86.34475650,86.34448310,86.34465957,86.34442217,86.34464933,86.34474800,86.34453451,86.34462068,86.34455107,86.34482167,86.34490504,86.34477852,86.34461505,86.34470563,86.34501163,86.34470350,86.34478573,86.34495797, 
40,76.85615069,76.86889250,76.86891788,76.86901857,76.86901529,76.85633089,76.86866884,76.86884149,76.86878365,76.86903737,76.86316524,76.86884287,76.86884960,76.86871159,76.86876258,76.86866877,76.86876095,76.86905278,76.86885425,78.97193851,78.97191254,78.97192130,79.05331188,79.05359165,79.05346848,79.05358679,79.05374677,79.05357730,79.04114379,79.05342352,79.05376468,79.04189198,79.05388442,79.05389151,79.05382353,79.05393588,79.05381540,79.05393675,79.10448841,79.10443343, 
