,,,,,
,run1,,,,
serial,26.22, 0.00, 0:26.22, 99, 
parallel1,26.37, 0.12, 0:26.56, 99, 
parallel4,26.54, 0.55, 0:06.89, 393, 
parallel8,26.77, 1.26, 0:03.65, 766, 
parallel12,27.28, 2.12, 0:02.63, 1116, 
parallel16,27.67, 3.22, 0:02.12, 1453, 
parallel20,28.40, 4.45, 0:01.87, 1754, 
parallel24,29.05, 5.82, 0:01.71, 2029, 
parallel28,32.23, 8.16, 0:01.77, 2280, 
parallel32,35.73, 10.22, 0:01.82, 2521, 
parallel36,34.32, 12.65, 0:01.73, 2711, 
parallel40,35.97, 16.44, 0:01.80, 2902, 
parallel44,39.45, 18.39, 0:01.89, 3057, 
parallel48,43.34, 20.00, 0:01.99, 3178, 
,,,,,
,run2,,,,
serial,26.22, 0.00, 0:26.22, 99, 
parallel1,26.39, 0.12, 0:26.58, 99, 
parallel4,26.54, 0.57, 0:06.88, 394, 
parallel8,26.97, 1.24, 0:03.69, 763, 
parallel12,27.95, 2.15, 0:02.69, 1118, 
parallel16,27.91, 3.21, 0:02.14, 1449, 
parallel20,28.43, 4.35, 0:01.87, 1748, 
parallel24,29.02, 5.83, 0:01.72, 2019, 
parallel28,31.48, 8.80, 0:01.76, 2287, 
parallel32,33.50, 10.11, 0:01.72, 2522, 
parallel36,33.83, 12.94, 0:01.70, 2737, 
parallel40,38.20, 16.04, 0:01.95, 2777, 
parallel44,37.25, 19.16, 0:01.87, 3002, 
parallel48,39.56, 21.00, 0:01.96, 3090, 
,,,,,
,run3,,,,
serial,26.25, 0.00, 0:26.25, 99, 
parallel1,26.38, 0.15, 0:26.57, 99, 
parallel4,26.56, 0.57, 0:06.89, 393, 
parallel8,26.77, 1.28, 0:03.63, 771, 
parallel12,27.15, 2.08, 0:02.60, 1120, 
parallel16,28.35, 3.20, 0:02.32, 1355, 
parallel20,28.36, 4.47, 0:01.86, 1765, 
parallel24,28.93, 5.81, 0:01.70, 2034, 
parallel28,35.43, 8.77, 0:01.91, 2308, 
parallel32,35.46, 10.25, 0:01.77, 2579, 
parallel36,34.51, 12.07, 0:01.73, 2691, 
parallel40,36.32, 16.63, 0:01.83, 2886, 
parallel44,36.60, 20.53, 0:01.89, 3010, 
parallel48,39.41, 22.61, 0:01.93, 3213, 
